country_name,Related_indicators,Latest_value,Reference,Measure
Georgia,"Forest area, percent",40.6,2021,percent
Georgia,Percent agricultural land,34.25,2021,percent
Georgia,Employment in agriculture,40.37,2021,percent
Georgia,GDP share of agriculture,5.97,2022,percent
Georgia,Agriculture value added,1.48,2022,billion U.S. dollars
South Korea,"Forest area, percent",64.3,2021,percent
South Korea,Percent agricultural land,16.42,2021,percent
South Korea,Employment in agriculture,5.35,2021,percent
South Korea,GDP share of agriculture,1.64,2022,percent
South Korea,Agriculture value added,27.48,2022,billion U.S. dollars
Japan,"Forest area, percent",68.4,2021,percent
Japan,Percent agricultural land,12.78,2021,percent
Japan,Employment in agriculture,3.17,2021,percent
Japan,GDP share of agriculture,1.02,2022,percent
Japan,Agriculture value added,47.6,2021,billion U.S. dollars
North Korea,"Forest area, percent",49.9,2021,percent
North Korea,Percent agricultural land,21.55,2021,percent
North Korea,Employment in agriculture,43.51,2021,percent
Cambodia,"Forest area, percent",44.8,2021,percent
Cambodia,Percent agricultural land,34.55,2021,percent
Cambodia,Employment in agriculture,38.85,2021,percent
Cambodia,GDP share of agriculture,22.23,2022,percent
Cambodia,Agriculture value added,6.56,2022,billion U.S. dollars
Nepal,"Forest area, percent",41.6,2021,percent
Nepal,Percent agricultural land,28.75,2021,percent
Nepal,Employment in agriculture,62.26,2021,percent
Nepal,GDP share of agriculture,21.06,2022,percent
Nepal,Agriculture value added,8.6,2022,billion U.S. dollars
Burma,"Forest area, percent",43.3,2021,percent
Burma,Percent agricultural land,19.89,2021,percent
Burma,Employment in agriculture,46.47,2020,percent
Burma,GDP share of agriculture,22.33,2022,percent
Burma,Agriculture value added,13.91,2022,billion U.S. dollars
Malaysia,"Forest area, percent",58.0,2021,percent
Malaysia,Percent agricultural land,26.09,2021,percent
Malaysia,Employment in agriculture,9.65,2021,percent
Malaysia,GDP share of agriculture,8.92,2022,percent
Malaysia,Agriculture value added,36.31,2022,billion U.S. dollars
Vietnam,"Forest area, percent",47.0,2021,percent
Vietnam,Percent agricultural land,39.43,2021,percent
Vietnam,Employment in agriculture,29.04,2021,percent
Vietnam,GDP share of agriculture,11.88,2022,percent
Vietnam,Agriculture value added,48.55,2022,billion U.S. dollars
Indonesia,"Forest area, percent",48.4,2021,percent
Indonesia,Percent agricultural land,34.13,2021,percent
Indonesia,Employment in agriculture,28.99,2021,percent
Indonesia,GDP share of agriculture,12.4,2022,percent
Indonesia,Agriculture value added,163.56,2022,billion U.S. dollars
Bhutan,"Forest area, percent",71.5,2021,percent
Bhutan,Percent agricultural land,13.45,2021,percent
Bhutan,Employment in agriculture,55.99,2021,percent
Bhutan,GDP share of agriculture,15.79,2021,percent
Bhutan,Agriculture value added,0.44,2021,billion U.S. dollars
Laos,"Forest area, percent",71.8,2021,percent
Laos,Percent agricultural land,8.8,2021,percent
Laos,Employment in agriculture,58.09,2021,percent
Laos,GDP share of agriculture,14.87,2022,percent
Laos,Agriculture value added,2.3,2022,billion U.S. dollars
Qatar,"Forest area, percent",0.0,2021,percent
Qatar,Percent agricultural land,6.44,2021,percent
Qatar,Employment in agriculture,1.19,2021,percent
Qatar,GDP share of agriculture,0.26,2022,percent
Qatar,Agriculture value added,0.6,2022,billion U.S. dollars
Qatar,Agricultural land,740.0,2021,sq. km.
Qatar,Crop production index,145.1,2021,index points
Qatar,Precipitation,74.0,2020,mm per year
Qatar,"Arable land, percent of land area",1.8,2021,percent
Brunei,"Forest area, percent",72.1,2021,percent
Brunei,Percent agricultural land,2.54,2021,percent
Brunei,Employment in agriculture,1.29,2021,percent
Brunei,GDP share of agriculture,1.1,2022,percent
Brunei,Agriculture value added,0.18,2022,billion U.S. dollars
Brunei,Agricultural land,134.0,2021,sq. km.
Brunei,Crop production index,96.8,2021,index points
Kuwait,"Forest area, percent",0.4,2021,percent
Kuwait,Percent agricultural land,8.42,2021,percent
Kuwait,Employment in agriculture,1.98,2021,percent
Kuwait,GDP share of agriculture,0.46,2020,percent
Kuwait,Agriculture value added,0.48,2020,billion U.S. dollars
Oman,"Forest area, percent",0.0,2021,percent
Oman,Percent agricultural land,4.74,2021,percent
Oman,Employment in agriculture,4.12,2021,percent
Oman,GDP share of agriculture,1.84,2022,percent
Oman,Agriculture value added,2.11,2022,billion U.S. dollars
Saudi Arabia,"Forest area, percent",0.5,2021,percent
Saudi Arabia,Percent agricultural land,80.77,2021,percent
Saudi Arabia,Employment in agriculture,2.7,2021,percent
Saudi Arabia,GDP share of agriculture,2.4,2022,percent
Saudi Arabia,Agriculture value added,26.66,2022,billion U.S. dollars
Yemen,"Forest area, percent",1.0,2021,percent
Yemen,Percent agricultural land,44.42,2021,percent
Yemen,Employment in agriculture,28.09,2021,percent
Yemen,GDP share of agriculture,28.75,2018,percent
Yemen,Agriculture value added,6.21,2018,billion U.S. dollars
Bahrain,"Forest area, percent",0.9,2021,percent
Bahrain,Percent agricultural land,10.25,2021,percent
Bahrain,Employment in agriculture,0.98,2021,percent
Bahrain,GDP share of agriculture,0.26,2022,percent
Bahrain,Agriculture value added,0.11,2022,billion U.S. dollars
Bahrain,Agricultural land,81.0,2021,sq. km.
Bahrain,Crop production index,106.3,2021,index points
Bahrain,Precipitation,83.0,2020,mm per year
Bahrain,"Arable land, percent of land area",2.7,2021,percent
Bahrain,Food production index,128.4,2021,index points
Jordan,"Forest area, percent",1.1,2021,percent
Jordan,Percent agricultural land,11.52,2021,percent
Jordan,Employment in agriculture,3.25,2021,percent
