country_name,related,last,previous
Brunei,Consumer Price Index CPI,106.4,107.7
Brunei,Food Inflation,2.1,2.1
Brunei,Inflation Rate YoY,0.1,0.7
Brunei,Inflation Rate MoM,-1.3,0.8
Belize,Consumer Price Index CPI,117.25,117.0
Belize,CPI Housing Utilities,104.9,104.7
Belize,CPI Transportation,127.06,129.3
Belize,Food Inflation,8.22,8.2
Belize,Inflation Rate,4.3,3.7
Belize,Inflation Rate MoM,-0.6,0.4
Bhutan,Consumer Price Index CPI,128.17,128.26
Bhutan,CPI Housing Utilities,126.92,126.64
Bhutan,CPI Transportation,123.5,124.15
Bhutan,Export Prices,124.67,126.33
Bhutan,Export Prices YoY,-6.18,7.29
Bhutan,Food Inflation,5.83,6.21
Bhutan,Import Prices,144.24,144.8
Bhutan,Import Prices YoY,12.68,18.54
Bhutan,Inflation Rate,4.32,4.99
Bhutan,Inflation Rate MoM,-0.07,0.41
Bolivia,Consumer Price Index CPI,111.43,111.21
Bolivia,CPI Housing Utilities,107.83,107.72
Bolivia,CPI Transportation,112.78,113.62
Bolivia,Export Prices,156.99,159.44
Bolivia,Food Inflation,3.98,2.17
Bolivia,Import Prices,165.77,164.58
Bolivia,Inflation Rate,2.52,1.86
Bolivia,Inflation Rate MoM,0.2,0.08
Botswana,Core Consumer Prices,129.5,129.5
Botswana,Core Inflation Rate,4.1,4.1
Botswana,CPI Housing Utilities,124.5,124.5
Botswana,CPI Transportation,150.1,150.3
Botswana,Food Inflation,5.8,5.9
Botswana,Inflation Rate YoY,3.9,3.9
Botswana,Inflation Rate MoM,0.1,-0.3
Brazil,Consumer Price Index CPI,6858.17,6801.72
Brazil,CPI Housing Utilities,11458.4,11427.55
Brazil,CPI Transportation,6571.67,6524.69
Brazil,Food Inflation,2.62,1.82
Brazil,Inflation Rate YoY,4.5,4.51
Brazil,Inflation Rate MoM,0.83,0.42
Brazil,IPCA mid-month CPI MoM,0.78,0.31
Brazil,IPCA mid-month CPI YoY,4.49,4.47
Benin,Rent Inflation,0.0,0.1
Benin,Consumer Price Index CPI,112.1,110.5
Benin,CPI Housing Utilities,113.8,111.0
Benin,CPI Transportation,127.4,127.6
Benin,Food Inflation,-2.8,-5.5
Benin,Inflation Rate,0.2,-1.2
Benin,Inflation Rate MoM,1.4,-0.6
Belarus,Core Consumer Prices,100.5,100.5
Belarus,Food Inflation,6.4,6.9
Belarus,Inflation Rate YoY,5.6,5.9
Belarus,Inflation Rate MoM,0.9,0.8
Belarus,Producer Prices,23699.2,23479.7
Belarus,Producer Prices Change,6.2,5.1
Barbados,Consumer Price Index CPI,114.5,114.2
Barbados,CPI Housing Utilities,111.8,111.3
Barbados,CPI Transportation,122.1,122.2
Barbados,Food Inflation,9.2,9.0
Barbados,Inflation Rate,5.5,4.5
Bahamas,Consumer Price Index CPI,122.3,122.5
Bahamas,Inflation Rate,1.96,2.03
Bahamas,Inflation Rate MoM,-0.2,0.1
Bangladesh,Consumer Price Index CPI,120.09,119.6
Bangladesh,CPI Transportation,119.31,119.21
Bangladesh,Food Inflation,9.44,9.56
Bangladesh,GDP Deflator,137.95,130.84
Bangladesh,Inflation Rate YoY,9.67,9.86
Bangladesh,Inflation Rate MoM,0.41,1.01
Bahrain,Consumer Price Index CPI,101.2,100.6
Bahrain,CPI Housing Utilities,91.4,89.2
Bahrain,CPI Transportation,107.4,107.9
Bahrain,Food Inflation,6.8,4.2
Bahrain,GDP Deflator,116.19,105.09
Bahrain,Inflation Rate YoY,0.8,-0.3
Bahrain,Inflation Rate MoM,0.6,-0.2
Azerbaijan,Consumer Price Index CPI,214.2,213.1
Azerbaijan,Core Inflation Rate,2.0,2.3
Azerbaijan,Food Inflation,0.2,0.7
Azerbaijan,Inflation Rate,1.3,1.7
Azerbaijan,Producer Price Inflation MoM,1.8,-4.2
Azerbaijan,Producer Prices,89.0,184.3
Azerbaijan,Producer Prices Change,-0.3,-11.0
Zimbabwe,Consumer Price Index CPI,127.17,120.67
Zimbabwe,CPI Housing Utilities,133.72,127.54
Zimbabwe,CPI Transportation,120.88,117.97
Zimbabwe,Food Inflation,84.4,60.3
Zimbabwe,Inflation Rate YoY,47.6,34.8
Zimbabwe,Inflation Rate MoM,5.4,6.6
Zambia,CPI Housing Utilities,417.09,413.16
Zambia,CPI Transportation,594.2,566.41
Zambia,Inflation Rate YoY,13.5,13.2
Zambia,Inflation Rate MoM,2.2,2.1
Vietnam,Consumer Price Index CPI,115.33,114.14
Vietnam,Core Inflation Rate,2.96,2.72
Vietnam,Core Inflation Rate MoM,0.49,0.21
Vietnam,CPI Transportation,112.49,109.12
Vietnam,Export Prices,95.6,110.5
Vietnam,Food Inflation,4.23,2.31
Vietnam,GDP Deflator,171.54,165.17
Vietnam,Import Prices,91.1,107.8
Vietnam,Inflation Rate YoY,3.98,3.37
